timestamp,gpu_index,utilization_gpu_pct,utilization_memory_pct,memory_free_MiB,memory_used_MiB,temperature_gpu,temperature_memory,power_draw_W,pcie_link_width_current
1621447588.469,0,94,65,4705,27805,61,64,202.3,16
1621447588.572,0,100,59,4705,27805,62,64,111.23,16
1621447588.675,0,100,59,4705,27805,59,62,192.44,16
1621447588.778,0,50,35,4705,27805,60,62,208.0,16
1621447588.881,0,100,56,4705,27805,61,63,211.56,16
1621447588.984,0,100,56,4705,27805,61,64,208.58,16
1621447589.087,0,100,64,4705,27805,60,65,177.87,16
1621447589.191,0,100,64,4705,27805,60,64,56.6,16
1621447589.294,0,67,42,4705,27805,60,63,191.99,16
1621447589.397,0,84,63,4705,27805,61,64,234.77,16
1621447589.5,0,84,63,4705,27805,61,64,253.84,16
1621447589.603,0,86,52,4705,27805,60,63,207.94,16
1621447589.706,0,86,52,4705,27805,61,63,187.01,16
1621447589.809,0,99,55,4705,27805,61,63,195.23,16
1621447589.912,0,100,62,4705,27805,61,64,195.06,16
1621447590.015,0,100,62,4705,27805,61,65,220.48,16
1621447590.123,0,95,64,4705,27805,61,65,200.24,16
1621447590.226,0,99,70,4705,27805,62,65,240.04,16
1621447590.328,0,99,69,4705,27805,62,64,228.61,16
1621447590.431,0,99,64,4705,27805,61,64,178.89,16
1621447590.534,0,99,64,4705,27805,61,65,205.46,16
1621447590.637,0,100,57,4705,27805,62,64,207.61,16
1621447590.743,0,100,60,4705,27805,61,65,210.43,16
1621447590.846,0,100,60,4705,27805,61,65,139.69,16
1621447590.949,0,72,48,4705,27805,59,62,53.84,16
1621447591.053,0,72,48,4705,27805,59,59,53.45,16
1621447591.156,0,0,0,4705,27805,58,58,53.1,16
1621447591.259,0,0,0,4705,27805,58,58,52.88,16
1621447591.364,0,0,0,4705,27805,57,57,52.67,16
1621447591.467,0,0,0,4705,27805,57,57,52.46,16
1621447591.57,0,0,0,4705,27805,57,57,52.49,16
1621447591.673,0,0,0,4705,27805,57,56,52.28,16
1621447591.776,0,0,0,4705,27805,57,56,52.19,16
1621447591.879,0,0,0,4705,27805,56,56,52.63,16
1621447591.985,0,0,0,4705,27805,56,56,52.48,16
1621447592.088,0,0,0,4705,27805,56,56,52.54,16
1621447592.192,0,0,0,4705,27805,56,56,106.19,16
1621447592.295,0,28,21,4705,27805,58,61,223.55,16
1621447592.398,0,100,68,4705,27805,59,61,239.61,16
1621447592.501,0,100,68,4705,27805,59,61,108.18,16
1621447592.607,0,85,54,4705,27805,60,62,216.63,16
1621447592.71,0,85,54,4705,27805,60,63,221.05,16
1621447592.814,0,100,56,4705,27805,60,62,190.72,16
1621447592.917,0,100,63,4705,27805,60,64,193.35,16
1621447593.02,0,100,63,4705,27805,60,64,69.64,16
1621447593.123,0,72,48,4705,27805,60,64,201.17,16
1621447593.226,0,72,48,4705,27805,61,64,201.17,16
1621447593.329,0,100,70,4705,27805,62,64,159.42,16
1621447593.437,0,99,59,4705,27805,61,64,203.57,16
1621447593.54,0,99,59,4705,27805,61,64,209.75,16
1621447593.643,0,100,57,4705,27805,61,63,221.04,16
1621447593.746,0,100,64,4705,27805,61,65,204.07,16
1621447593.849,0,100,64,4705,27805,61,65,88.24,16
1621447593.952,0,55,34,4705,27805,59,62,62.11,16
1621447594.055,0,55,34,4705,27805,60,63,189.6,16
1621447594.159,0,73,58,4705,27805,61,64,230.75,16
1621447594.262,0,98,57,4705,27805,62,64,139.41,16
1621447594.367,0,98,57,4705,27805,61,64,213.39,16
1621447594.47,0,97,53,4705,27805,61,65,222.35,16
1621447594.573,0,97,53,4705,27805,62,64,190.05,16
1621447594.676,0,100,61,4705,27805,61,66,195.2,16
1621447594.779,0,99,68,4705,27805,61,65,167.61,16
1621447594.882,0,99,68,4705,27805,61,66,221.11,16
1621447594.985,0,95,66,4705,27805,62,65,242.02,16
1621447595.088,0,95,66,4705,27805,61,66,199.05,16
1621447595.191,0,99,63,4705,27805,62,64,202.18,16
1621447595.294,0,100,57,4705,27805,62,65,212.24,16
1621447595.397,0,100,57,4705,27805,62,65,209.61,16
1621447595.5,0,100,60,4705,27805,62,66,176.9,16
1621447595.605,0,93,64,4705,27805,61,66,210.53,16
1621447595.708,0,93,64,4705,27805,62,66,250.06,16
1621447595.811,0,100,70,4705,27805,63,65,237.01,16
1621447595.914,0,100,67,4705,27805,62,66,189.01,16
1621447596.017,0,99,59,4705,27805,62,66,221.11,16
1621447596.12,0,100,58,4705,27805,62,66,221.35,16
1621447596.223,0,100,58,4705,27805,62,65,206.55,16
1621447596.326,0,100,65,4705,27805,62,67,199.86,16
1621447596.429,0,100,65,4705,27805,61,66,69.46,16
1621447596.532,0,51,31,4705,27805,60,62,204.54,16
1621447596.638,0,67,55,4705,27805,62,65,248.67,16
1621447596.741,0,67,54,4705,27805,63,65,235.38,16
1621447596.846,0,100,58,4705,27805,61,64,180.12,16
